Date,Dividends
2000-05-16,1.050000
2000-10-10,0.380000
2001-05-15,1.220000
2001-10-09,0.380000
2002-05-14,1.220000
2002-10-08,0.380000
2003-05-13,1.220000
2003-10-07,0.380000
2004-05-11,1.300000
2004-10-05,0.380000
2005-05-10,1.420000
2005-10-04,0.420000
2006-05-09,1.580000
2006-10-03,0.460000
2007-05-08,1.740000
2007-10-02,0.500000
2008-05-13,1.950000
2008-09-29,0.500000
2009-05-12,1.950000
2009-09-24,0.500000
2010-05-18,2.200000
2010-09-10,0.500000
2011-05-11,2.450000
2011-09-14,0.530000
2012-05-30,2.630000
2012-09-11,0.530000
2013-05-24,2.630000
2013-09-03,0.580000
2014-05-05,7.000000
2014-05-21,2.900000
2014-09-01,0.638000
2015-03-11,3.016000
2015-09-22,0.700000
2016-05-18,1.850000
2016-09-09,0.735000
2017-05-16,1.945000
2017-09-04,0.780000
2018-05-15,2.070000
2018-09-03,0.870000
2019-05-21,2.300000
2019-09-02,0.870000
2020-05-19,2.300000
2020-09-07,0.614000
2021-05-18,1.700000
2021-09-06,0.800000
2022-05-24,1.860000
