Announcement Date,年度/截至,派息事項,派息內容,方式,Div Date,截止過戶日期,Div Issue Date
2022-07-29,2022-12-22,中期業績,股息：美元 0.0400,現金,2022-08-10,2022-08-11,2022-10-14
2022-02-17,2022-12-21,末期業績,股息：美元 0.0900,現金,2022-02-23,2022-02-25,2022-05-12
2021-08-03,2022-12-21,中期業績,股息：美元 0.0300,現金,2021-08-11,2021-08-12,2021-10-22
2021-02-25,2022-12-20,末期業績,股息：美元 0.0900,現金,2021-03-03,2021-03-05,2021-05-20
2020-07-30,2022-12-20,中期業績,無派息,-,-,-,-
2020-04-01,2022-12-19,末期業績,無派息,-,-,-,-
2019-08-01,2022-12-19,中期業績,股息：美元 0.0700,現金,2019-08-07,2019-08-09,2019-10-21
2019-02-26,2022-12-18,末期業績,股息：美元 0.1500,現金,2019-03-06,2019-03-08,2019-05-16
2018-07-31,2022-12-18,中期業績,股息：美元 0.0600,現金/實物,2018-08-08,2018-08-10,2018-10-22
2018-02-27,2022-12-17,末期業績,股息：美元 0.1100,現金/實物,2018-03-07,2018/03/09-2018/03/09,2018-05-17
2017-08-02,2022-12-17,中期業績,無派息,-,-,-,-
2017-02-24,2022-12-16,末期業績,無派息,-,-,-,-
2016-08-03,2022-12-16,中期業績,無派息,-,-,-,-
2016-02-23,2022-12-15,末期業績,無派息,-,-,-,-
2015-11-03,-,特別報告,供股：7股供2股@港元 55.6000,-,2015-11-17,2015-11-18,2015-12-10
2015-08-05,2022-12-15,中期業績,股息：美元 0.1440,現金/實物,2015-08-12,2015/08/14-2015/08/14,2015-10-19
2015-03-04,2022-12-14,末期業績,股息：美元 0.5720,現金/實物,2015-03-11,2015-03-13,2015-05-14
2014-08-06,2022-12-14,中期業績,股息：美元 0.2880,現金/實物,2014-08-13,2014-08-15,2014-10-20
2014-03-05,2022-12-13,末期業績,股息：美元 0.5720,現金/實物,2014-03-12,2014-03-14,2014-05-14
2013-08-06,2022-12-13,中期業績,股息：美元 0.2880,現金/實物,2013-08-15,2013-08-19,2013-10-17
2013-03-05,2022-12-12,末期業績,股息：美元 0.5677,現金/實物,2013-03-13,2013-03-15,2013-05-14
2012-08-01,2022-12-12,中期業績,股息：美元 0.2723,現金/實物,2012-08-08,-,2012-10-11
2012-02-29,2022-12-11,末期業績,股息：美元 0.5125,現金/實物,2012-03-07,2012/03/09-2012/03/09,2012-05-15
2011-08-03,2022-12-11,中期業績,股息：美元 0.2475,現金/實物,2011-08-10,2011/08/12-2011/08/12,2011-10-07
2011-03-02,2022-12-10,末期業績,股息：美元 0.4665,現金/實物,2011-03-09,2011/03/11-2011/03/11,2011-05-11
2010-10-13,2022-12-10,特別報告,供股：8股供1股@港元 156.8200,-,2010-10-18,2010/10/20-2010/10/20,2010-11-05
2010-08-04,2022-12-10,中期業績,股息：美元 0.2335,現金/實物,2010-08-11,2010/08/13-2010/08/13,2010-10-05
2010-03-03,2022-12-09,末期業績,股息：美元 0.4480,現金/實物,2010-03-10,2010/03/12-2010/03/12,2010-05-13
2009-08-04,2022-12-09,中期業績,股息：美元 0.2123,現金/實物,2009-08-12,2009/08/14-2009/08/14,2009-10-08
2009-03-03,2022-12-08,末期業績,股息：美元 0.4232,現金/實物,2009-03-11,2009/03/13-2009/03/13,2009-05-15
2008-11-24,2022-12-08,特別報告,供股:91股供30股@港元 45.1100,-,2008-11-27,2008/12/01-2008/12/01,2008-12-17
2008-08-05,2022-12-08,中期業績,股息：美元 0.2567,現金/實物,2008-08-13,2008/08/15-2008/08/15,2008-10-09
2008-02-26,2022-12-07,末期業績,股息：美元 0.5623,現金/實物,2008-03-05,2008/03/07-2008/03/07,2008-05-16
2007-09-03,2022-12-07,中期業績,股息: 美元 0.2312,現金/實物,2007-08-15,2007/08/17-2007/08/17,2007-10-10
2007-02-28,2022-12-06,末期業績,股息：美元 0.5021,現金,2007-03-07,2007/03/09-2007/03/09,2007-05-11
2006-08-08,2022-12-06,中期業績,股息：美元 0.2083,現金/實物,2006-08-16,2006/08/18-2006/08/18,2006-10-11
2006-03-02,2022-12-05,末期業績,股息: 美元 0.4506,現金,2006-03-08,2006/03/10-2006/03/10,2006-05-12
2005-08-08,2022-12-05,中期業績,股息: 美元 0.1894,現金,2005-08-17,2005/08/19-2005/08/19,2005-10-14
2005-02-16,2022-12-04,末期業績,股息: 美元 0.4044,現金/實物,2005-02-23,2005/02/25-2005/02/25,2005-05-12
2004-08-04,2022-12-04,中期業績,股息: 美元 0.1706,現金,2004-08-11,2004/08/13-2004/08/13,2004-10-08
2004-02-18,2022-12-03,末期業績,股息: 美元 0.3649,現金,2004-02-25,2004/02/27-2004/02/27,2004-05-14
2003-08-06,2022-12-03,中期業績,股息: 美元 0.1551,現金,2003-08-13,2003/08/15-2003/08/15,2003-10-10
2003-02-19,2022-12-02,末期業績,股息: 美元 0.3290,現金,2003-02-26,2003/02/28-2003/02/28,2003-05-13
