Date,Price
"Aug 09, 2022",4122.47
"Aug 08, 2022",4140.06
"Aug 05, 2022",4145.19
"Aug 04, 2022",4151.94
"Aug 03, 2022",4155.17
"Aug 02, 2022",4091.19
"Aug 01, 2022",4118.63
"Jul 29, 2022",4130.29
"Jul 28, 2022",4072.43
"Jul 27, 2022",4023.61
"Jul 26, 2022",3921.05
"Jul 25, 2022",3966.84
"Jul 22, 2022",3961.63
"Jul 21, 2022",3998.95
"Jul 20, 2022",3959.9
"Jul 19, 2022",3936.69
"Jul 18, 2022",3830.85
"Jul 15, 2022",3863.16
"Jul 14, 2022",3790.38
"Jul 13, 2022",3801.78
"Jul 12, 2022",3818.8
"Jul 11, 2022",3854.43
"Jul 08, 2022",3899.38
"Jul 07, 2022",3902.62
"Jul 06, 2022",3845.08
"Jul 05, 2022",3831.39
"Jul 01, 2022",3825.33
"Jun 30, 2022",3785.38
"Jun 29, 2022",3818.83
"Jun 28, 2022",3821.55
"Jun 27, 2022",3900.11
"Jun 24, 2022",3911.74
"Jun 23, 2022",3795.73
"Jun 22, 2022",3759.89
"Jun 21, 2022",3764.79
"Jun 17, 2022",3674.84
"Jun 16, 2022",3666.77
"Jun 15, 2022",3789.99
"Jun 14, 2022",3735.48
"Jun 13, 2022",3749.63
"Jun 10, 2022",3900.86
"Jun 09, 2022",4017.82
"Jun 08, 2022",4115.77
"Jun 07, 2022",4160.68
"Jun 06, 2022",4121.43
"Jun 03, 2022",4108.54
"Jun 02, 2022",4176.82
"Jun 01, 2022",4101.23
"May 31, 2022",4132.15
"May 27, 2022",4158.24
"May 26, 2022",4057.84
"May 25, 2022",3978.73
"May 24, 2022",3941.48
"May 23, 2022",3973.75
"May 20, 2022",3901.36
"May 19, 2022",3900.79
"May 18, 2022",3923.68
"May 17, 2022",4088.85
"May 16, 2022",4008.01
"May 13, 2022",4023.89
"May 12, 2022",3930.08
"May 11, 2022",3935.18
"May 10, 2022",4001.05
"May 09, 2022",3991.24
"May 06, 2022",4123.34
"May 05, 2022",4152.38
"May 04, 2022",4300.17
"May 03, 2022",4175.48
"May 02, 2022",4155.38
"Apr 29, 2022",4131.93
"Apr 28, 2022",4287.5
"Apr 27, 2022",4183.96
"Apr 26, 2022",4175.2
"Apr 25, 2022",4296.12
"Apr 22, 2022",4271.78
"Apr 21, 2022",4393.66
"Apr 20, 2022",4459.45
"Apr 19, 2022",4462.21
"Apr 18, 2022",4391.69
"Apr 14, 2022",4392.59
"Apr 13, 2022",4446.59
"Apr 12, 2022",4397.45
"Apr 11, 2022",4412.53
"Apr 08, 2022",4488.28
"Apr 07, 2022",4500.21
"Apr 06, 2022",4481.15
"Apr 05, 2022",4525.12
"Apr 04, 2022",4582.64
"Apr 01, 2022",4545.86
"Mar 31, 2022",4530.41
"Mar 30, 2022",4602.45
"Mar 29, 2022",4631.6
"Mar 28, 2022",4575.52
"Mar 25, 2022",4543.04
"Mar 24, 2022",4520.16
"Mar 23, 2022",4456.23
"Mar 22, 2022",4511.61
"Mar 21, 2022",4461.18
"Mar 18, 2022",4463.09
"Mar 17, 2022",4411.67
"Mar 16, 2022",4357.95
"Mar 15, 2022",4262.45
"Mar 14, 2022",4173.11
"Mar 11, 2022",4204.31
"Mar 10, 2022",4259.52
