Date,stock_key,multivariate_past_history,rnn_start,BATCH_SIZE,EPOCHS,EVALUATION_INTERVAL,PATIENCE,BUFFER_SIZE,VAL_STEPS,DROP_OUT,train_split,multivariate_future_target,STEP
2022-09-10,0001.HK,1,365,1,1200,40,100,100,50,0,0.8,0,1
2022-09-10,0001.HK,1,365,1,1200,40,100,100,50,0.02,0.8,0,1
2022-09-10,0001.HK,1,365,1,1200,40,100,100,50,0.2,0.8,0,1
2022-09-10,0001.HK,1,365,1,1200,40,150,100,50,0,0.8,0,1
2022-09-10,0001.HK,1,365,1,1200,40,150,100,50,0.02,0.8,0,1
2022-09-10,0001.HK,1,365,1,1200,40,150,100,50,0.2,0.8,0,1
2022-09-10,0001.HK,1,365,1,1200,40,200,100,50,0,0.8,0,1
2022-09-10,0001.HK,1,365,1,1200,40,200,100,50,0.02,0.8,0,1
2022-09-10,0001.HK,1,365,1,1200,40,200,100,50,0.2,0.8,0,1
2022-09-10,0001.HK,1,365,1,1200,40,250,100,50,0,0.8,0,1
2022-09-10,0001.HK,1,365,1,1200,40,250,100,50,0.2,0.8,0,1
2022-09-10,0001.HK,1,365,1,1200,40,250,100,50,0.02,0.8,0,1
2022-09-10,0001.HK,1,365,128,1200,40,100,100,50,0,0.8,0,1
2022-09-10,0001.HK,1,365,128,1200,40,100,100,50,0.02,0.8,0,1
2022-09-10,0001.HK,1,365,128,1200,40,100,100,50,0.2,0.8,0,1
2022-09-10,0001.HK,1,365,128,1200,40,150,100,50,0,0.8,0,1
2022-09-10,0001.HK,1,365,128,1200,40,150,100,50,0.02,0.8,0,1
2022-09-10,0001.HK,1,365,128,1200,40,150,100,50,0.2,0.8,0,1
2022-09-10,0001.HK,1,365,128,1200,40,200,100,50,0,0.8,0,1
2022-09-10,0001.HK,1,365,128,1200,40,200,100,50,0.02,0.8,0,1
2022-09-10,0001.HK,1,365,128,1200,40,200,100,50,0.2,0.8,0,1
2022-09-10,0001.HK,1,365,128,1200,40,250,100,50,0,0.8,0,1
2022-09-10,0001.HK,1,365,128,1200,40,250,100,50,0.2,0.8,0,1
2022-09-10,0001.HK,1,365,128,1200,40,250,100,50,0.02,0.8,0,1
