Date,stock_key,multivariate_past_history,rnn_start,BATCH_SIZE,EPOCHS,EVALUATION_INTERVAL,PATIENCE,BUFFER_SIZE,VAL_STEPS,DROP_OUT,train_split,multivariate_future_target,STEP
8/9/2022,0001.HK,1,730,256,1500,40,250,100,50,0.02,0.8,0,1
8/9/2022,0001.HK,1,730,256,1500,40,300,100,50,0.02,0.8,0,1
8/9/2022,0001.HK,1,730,256,1500,50,200,100,50,0.02,0.8,0,1
8/9/2022,0001.HK,1,730,256,1500,50,250,100,50,0.02,0.8,0,1
8/9/2022,0001.HK,1,730,256,1500,50,300,100,50,0.02,0.8,0,1
8/9/2022,0005.HK,1,730,256,400,40,150,100,50,0.02,0.8,0,1
8/9/2022,0005.HK,1,730,256,1500,40,200,100,50,0.02,0.8,0,1
8/9/2022,0144.HK,1,730,64,400,50,150,100,50,0.02,0.8,0,1
8/9/2022,0144.HK,1,730,64,1500,50,200,100,50,0.02,0.8,0,1
8/9/2022,0144.HK,1,730,256,1500,50,200,100,50,0.02,0.8,0,1
8/9/2022,0144.HK,1,730,256,1500,50,250,100,50,0.02,0.8,0,1
8/9/2022,2888.HK,1,730,256,400,50,150,100,50,0.02,0.8,0,1
8/9/2022,2888.HK,1,730,256,1000,50,200,100,50,0.02,0.8,0,1
8/9/2022,2888.HK,1,730,256,1000,50,250,100,50,0.02,0.8,0,1
