Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6.35,6.75,6.3,6.5,2.724322,13013000
2000-01-05,6,6.55,6,6.3,2.640496,17687600
2000-01-06,6.35,6.65,6.15,6.45,2.703365,24697000
2000-01-07,6.5,7.3,6.5,6.9,2.891972,60956400
2000-01-10,7.3,7.4,7.1,7.3,3.059622,38482539
2000-01-11,7.3,7.4,6.9,7.05,2.95484,22140000
2000-01-12,6.85,7,6.65,6.75,2.829102,11626000
2000-01-13,6.75,7.05,6.7,6.9,2.891972,11306000
2000-01-14,6.95,6.95,6.65,6.75,2.829102,7058000
2000-01-17,6.9,6.9,6.5,6.5,2.724322,5059750
2000-01-18,6.55,6.55,6.3,6.35,2.661452,6482000
2000-01-19,6.35,6.55,6.3,6.35,2.661452,8048000
2000-01-20,6.3,6.45,6.25,6.25,2.61954,7418000
2000-01-21,6.25,6.45,6.25,6.4,2.682407,3260000
2000-01-24,6.55,6.75,6.4,6.7,2.808146,6804000
2000-01-25,6.7,6.75,6.55,6.55,2.745277,5546000
2000-01-26,6.65,6.65,6.45,6.6,2.766233,4082000
2000-01-27,6.6,6.7,6.4,6.6,2.766233,6226000
2000-01-28,6.6,6.85,6.45,6.65,2.78719,13802000
2000-01-31,6.5,6.65,6.45,6.5,2.724322,7500000
2000-02-01,6.55,6.65,6.45,6.6,2.766233,3909000
2000-02-02,6.6,6.75,6.55,6.6,2.766233,4716000
2000-02-03,6.6,6.75,6.55,6.7,2.808146,3918000
2000-02-04,null,null,null,null,null,null
2000-02-07,null,null,null,null,null,null
2000-02-08,6.7,6.8,6.5,6.75,2.829102,3828000
2000-02-09,6.8,6.8,6.5,6.5,2.724322,13010000
2000-02-10,6.45,6.55,6.45,6.45,2.703365,12926000
2000-02-11,6.55,6.55,6.25,6.35,2.661452,17449000
2000-02-14,6.25,6.25,5.9,6.05,2.535714,20178000
2000-02-15,6.05,6.2,5.8,6,2.514757,11853000
2000-02-16,6,6,5.8,5.85,2.451888,13665210
2000-02-17,5.95,5.95,5.55,5.6,2.347107,11195082
2000-02-18,5.7,6.05,5.65,5.8,2.430933,17676000
2000-02-21,5.75,5.75,5.55,5.6,2.347107,6542000
2000-02-22,5.6,5.65,5.35,5.5,2.305194,10774000
2000-02-23,5.5,5.6,5.25,5.35,2.242326,11310000
2000-02-24,5.35,5.4,5,5.05,2.116588,16266000
2000-02-25,5.25,5.25,4.975,5.05,2.116588,5840000
2000-02-28,5.05,5.05,4.825,4.875,2.043241,8662806
2000-02-29,4.9,4.95,4.8,4.825,2.022284,10100000
2000-03-01,4.8,4.9,4.575,4.6,1.927981,8928000
2000-03-02,4.55,4.55,4.4,4.45,1.865112,12628000
2000-03-03,4.5,4.95,4.45,4.95,2.074675,12322000
2000-03-06,5.05,5.15,4.75,4.775,2.001328,19568000
2000-03-07,4.8,4.925,4.625,4.875,2.043241,9784000
2000-03-08,4.85,4.95,4.7,4.725,1.980372,7330000
2000-03-09,4.75,5.25,4.75,5.15,2.158501,21580000
2000-03-10,5.35,5.75,5.25,5.6,2.347107,35312000
2000-03-13,5.55,6.2,5.55,5.8,2.430933,30728000
2000-03-14,5.95,5.95,5.6,5.7,2.389019,7529000
2000-03-15,5.55,5.7,5.4,5.45,2.284238,3886000
2000-03-16,5.45,5.65,5.2,5.3,2.221369,4737000
2000-03-17,5.5,5.5,5.25,5.35,2.242326,7921000
2000-03-20,5.3,5.3,5.15,5.2,2.179457,6424000
2000-03-21,5.25,5.35,5.05,5.15,2.158501,3631000
2000-03-22,5.25,5.35,5.15,5.25,2.200413,2320000
2000-03-23,5.25,5.3,5.1,5.3,2.221369,4867000
2000-03-24,5.1,5.25,5.05,5.15,2.158501,6904000
2000-03-27,5.2,5.35,5.15,5.25,2.200413,5849000
2000-03-28,5.35,5.35,5.1,5.1,2.137544,2948000
2000-03-29,5.1,5.2,4.95,5,2.095632,4382000
2000-03-30,5,5.15,5,5.1,2.137544,3782000
2000-03-31,5.05,5.15,5,5.05,2.116588,4336000
2000-04-03,5.1,5.1,4.825,4.85,2.032763,3822000
2000-04-04,null,null,null,null,null,null
2000-04-05,4.8,4.8,4.625,4.7,1.969894,8532000
2000-04-06,4.7,4.85,4.7,4.775,2.001328,2482000
2000-04-07,4.85,5.15,4.825,5.1,2.137544,4234000
2000-04-10,5.05,5.05,4.825,4.85,2.032763,3741704
2000-04-11,4.75,5,4.75,4.925,2.064197,2790249
2000-04-12,4.9,5.05,4.9,4.9,2.053719,1960000
2000-04-13,4.875,4.875,4.75,4.8,2.011806,3512000
2000-04-14,4.75,4.9,4.7,4.875,2.043241,5674000
2000-04-17,4.4,4.6,4.35,4.475,1.87559,5590000
2000-04-18,4.6,4.85,4.6,4.85,2.032763,5324000
2000-04-19,5,5.15,4.8,4.825,2.022284,7405400
2000-04-20,4.825,4.925,4.775,4.925,2.064197,2268000
2000-04-21,null,null,null,null,null,null
2000-04-24,null,null,null,null,null,null
2000-04-25,4.925,4.975,4.8,4.8,2.011806,1820000
2000-04-26,4.9,4.95,4.75,4.825,2.022284,1926000
2000-04-27,4.825,4.875,4.75,4.8,2.011806,1778000
2000-04-28,4.9,4.9,4.8,4.825,2.022284,1472597
2000-05-01,null,null,null,null,null,null
2000-05-02,4.875,4.95,4.8,4.875,2.043241,1860000
2000-05-03,4.875,4.925,4.85,4.9,2.053719,1669000
2000-05-04,4.8,4.85,4.75,4.775,2.001328,2392000
2000-05-05,4.775,4.85,4.75,4.775,2.001328,2508000
2000-05-08,4.8,4.85,4.65,4.675,1.959415,2160000
2000-05-09,null,null,null,null,null,null
2000-05-10,4.5,4.6,4.5,4.55,1.907025,2628000
2000-05-11,null,null,null,null,null,null
2000-05-12,4.575,4.925,4.575,4.9,2.053719,5372000
2000-05-15,5,5.35,4.95,5.25,2.200413,20402000
2000-05-16,5.35,5.4,5.1,5.35,2.242326,13774000
2000-05-17,5.35,5.5,5.25,5.3,2.221369,18828000
2000-05-18,5.15,5.3,5.05,5.1,2.137544,4640000
2000-05-19,5.05,5.4,5.05,5.4,2.263282,7460000
2000-05-22,5.4,5.55,5.1,5.15,2.158501,13068000
2000-05-23,5.15,5.3,4.925,5.05,2.116588,6782000
2000-05-24,4.9,5.25,4.9,5,2.095632,5502000
2000-05-25,5.25,5.3,4.6,4.625,1.938459,13309000
2000-05-26,4.5,4.55,4.375,4.4,1.844156,14864000
2000-05-29,4.5,4.575,4.325,4.525,1.896547,9054000
2000-05-30,null,null,null,null,null,null
2000-05-31,4.425,4.5,4.425,4.45,1.865112,14368000
2000-06-01,4.45,4.65,4.425,4.55,1.907025,14742000
2000-06-02,4.65,4.825,4.5,4.825,2.022284,19256000
2000-06-05,5,5,4.825,4.875,2.043241,18083000
2000-06-06,null,null,null,null,null,null
2000-06-07,4.9,5.05,4.85,4.925,2.064197,8770000
2000-06-08,4.925,5,4.9,4.9,2.053719,9058000
2000-06-09,4.85,4.95,4.825,4.85,2.032763,5397700
2000-06-12,4.925,4.95,4.9,4.925,2.064197,4490000
2000-06-13,4.85,5.1,4.85,4.95,2.074675,10440751
2000-06-14,5,5,4.9,4.975,2.085154,6294000
2000-06-15,5,5.2,4.95,5.05,2.146794,12429000
